Bee_ID,Species,Date COLLECTED,Plant collected on,Farm,PA,Count,Wing_MM,Counter_Inits,Notes,Treatment
158,vagans,7/20/21,zinnia,LAUR,1,38,,SG/RY,"check count *weird, originally got 443, may have been taken from the bottom of tube but when we checked again @ bottom it was still around 30",CUT
159,vagans,7/20/21,zinnia,LAUR,1,9,,RY,,CUT
160,imp,7/20/21,cosmos,LAUR,NA,NA,,NA,died 7/20/21,CUT
161,bimac,7/20/21,zinnia,LAUR,1,80,,SG,,CUT
162,vagans,7/20/21,zinnia,LAUR,0,0,,SG,,CUT
163,vagans,7/20/21,zinnia,LAUR,1,58,,RY,,CUT
164,vagans,7/20/21,zinnia,LAUR,0,0,,RY,,CUT
165,vagans,7/20/21,zinnia,LAUR,1,6,,SG,,CUT
166,bimac,7/20/21,zinnia,LAUR,1,99,,SG,,CUT
167,vagans,7/20/21,zinnia,LAUR,0,0,,RY,,CUT
168,vagans,7/20/21,zinnia,LAUR,1,13,,RY,,CUT
169,vagans,7/20/21,zinnia,LAUR,1,5,,SG,all 7/20 bees were briefly in fridge so Elisa could replace sucrose,CUT
170,imp,7/22/21,zinnia,LAUR,0,0,,RY,,CUT
171,imp,7/22/21,zinnia,LAUR,1,22,,RY/SG,,CUT
172,imp,7/22/21,zinnia,LAUR,0,0,,SG,,CUT
173,gris,7/22/21,zinnia,LAUR,0,0,,SG,,CUT
174,imp,7/22/21,zinnia,LAUR,0,0,,RY,,CUT
175,bimac,7/22/21,zinnia,LAUR,0,0,,RY,queen? kept frozen,CUT
176,imp,7/22/21,zinnia,LAUR,1,1,,SG,,CUT
177,imp,7/22/21,zinnia,LAUR,0,0,,SG,,CUT
178,gris,7/22/21,zinnia,LAUR,NA,NA,,,queen? died in incubator not in freezer,CUT
179,gris,7/22/21,zinnia,LAUR,1,142,,SG,rod like,CUT
180,bimac,7/22/21,zinnia,LAUR,NA,NA,,,male,CUT
181,bimac,7/22/21,zinnia,LAUR,0,0,,SG,looked almost dead b4 CO2/ rod like bacteria,CUT
182,bimac,7/22/21,zinnia,LAUR,0,0,,,,CUT
183,bimac,7/22/21,zinnia,LAUR,0,0,,RY,no initialws but very likely RY,CUT
184,gris,7/22/21,zinnia,LAUR,0,0,,RY,dark gut,CUT
185,imp,7/22/21,zinnia,LAUR,0,0,,RY,,CUT
