bee_ID,sp,Date COLLECTED,j_date,Plant collected on,farm,visit,PA,crit_cnt,log10_cnt,Wing_MM,Hand_Wing,Counter_Inits,Notes,Treatment
83,imp,7/19/2021,2021200,tomatoes,SIMP,1,A,0,0,2.617,,EK,,CON
84,imp,7/19/2021,2021200,cosmos,SIMP,1,A,0,0,NA,,EK,no wing ,CON
85,imp,7/19/2021,2021200,tomatoes,SIMP,1,NA,NA,NA,2.63,,EK,died on dissection 7/20,CON
86,imp,7/19/2021,2021200,tomatoes,SIMP,1,A,0,0,2.35,,EK,,CON
87,imp,7/19/2021,2021200,tomatoes,SIMP,1,A,0,0,2.318,,EK,,CON
88,imp,7/19/2021,2021200,silphium,SIMP,1,A,0,0,2.425,,EK,,CON
89,imp,7/19/2021,2021200,tomatoes,SIMP,1,A,0,0,2.192,,EK,,CON
90,imp,7/19/2021,2021200,tomatoes,SIMP,1,P,83,1.919078092,2.77,,EK,,CON
91,imp,7/19/2021,2021200,zinnia,SIMP,1,A,0,0,2.85,,EK,,CON
92,imp,7/19/2021,2021200,zinnia,SIMP,1,A,0,0,2.519,,EK,,CON
93,imp,7/19/2021,2021200,zinnia,SIMP,1,A,0,0,2.373,,EK,,CON
94,imp,7/19/2021,2021200,tomatoes,SIMP,1,A,0,0,2.559,,EK,,CON
95,imp,7/19/2021,2021200,zinnia,SIMP,1,NA,NA,NA,NA,,EK,died in incubator 7/20,CON
96,imp,7/19/2021,2021200,zinnia,SIMP,1,NA,NA,NA,NA,,EK,died in incubator 7/20,CON
97,imp,7/19/2021,2021200,tomatoes,SIMP,1,A,0,0,NA,,EK,no wing ,CON
98,imp,7/19/2021,2021200,daisy,SIMP,1,A,0,0,1.693,,EK,,CON
99,imp,7/19/2021,2021200,silphium,SIMP,1,A,0,0,2.136,,EK,,CON
100,imp,7/19/2021,2021200,echinacea,SIMP,1,A,0,0,2.334,,EK,,CON
101,imp,7/19/2021,2021200,origanum,SIMP,1,A,0,0,2.782,,EK,,CON
102,imp,7/19/2021,2021200,origanum,SIMP,1,A,0,0,2.677,,EK,,CON
103,imp,7/19/2021,2021200,silphium,SIMP,1,A,0,0,2.411,,EK,,CON
104,imp,7/19/2021,2021200,echinacea,SIMP,1,NA,NA,NA,NA,,EK,died,CON
105,imp,7/19/2021,2021200,echinacea,SIMP,1,A,0,0,2.748,,EK,,CON
106,imp,7/19/2021,2021200,echinacea,SIMP,1,A,0,0,2.403,,EK,,CON
107,imp,7/19/2021,2021200,zinnia,SIMP,1,A,0,0,2.681,,EK,,CON
108,imp,7/19/2021,2021200,zinnia,SIMP,1,A,0,0,2.372,,EK,,CON
109,imp,7/19/2021,2021200,zinnia,SIMP,1,A,0,0,2.634,,EK,,CON
110,imp,7/19/2021,2021200,tomatoes,SIMP,1,A,0,0,2.719,,EK,,CON
111,imp,7/19/2021,2021200,zinnia,SIMP,1,A,0,0,2.491,,EK,,CON
112,imp,7/19/2021,2021200,monarda,SIMP,1,A,0,0,2.615,,EK,mint family,CON
113,imp,7/19/2021,2021200,tomatoes,SIMP,1,A,0,0,2.25,,EK,,CON
114,imp,7/19/2021,2021200,tomatoes,SIMP,1,A,0,0,2.118,,EK,,CON
115,imp,7/19/2021,2021200,monarda,SIMP,1,A,0,0,2.543,,EK,mint family,CON
116,imp,7/19/2021,2021200,zinnia,SIMP,1,NA,NA,NA,2.784,,EK,no data for crith count,CON
117,imp,7/20/2021,2021201,zinnia,LAUR,1,P,28,1.447158031,2.858,,SG/RY/EK,,CUT
118,imp,7/20/2021,2021201,zinnia,LAUR,1,A,0,0,2.804,,SG/RY/EK,,CUT
119,vagans,7/20/2021,2021201,zinnia,LAUR,1,A,0,0,2.331,,SG/RY/EK,,CUT
120,imp,7/20/2021,2021201,zinnia,LAUR,1,A,0,0,2.666,,SG/RY/EK,,CUT
121,gris,7/20/2021,2021201,zinnia,LAUR,1,A,0,0,3.071662,3.39,SG/RY/EK,,CUT
122,imp,7/20/2021,2021201,zinnia,LAUR,1,A,0,0,2.868,,SG/RY/EK,,CUT
123,vagans,7/20/2021,2021201,zinnia,LAUR,1,P,2,0.301029996,2.27,,RY,,CUT
124,imp,7/20/2021,2021201,zinnia,LAUR,1,A,0,0,2.644,,RY,,CUT
125,vagans,7/20/2021,2021201,zinnia,LAUR,1,P,3,0.477121255,2.294,,SG,,CUT
126,vagans,7/20/2021,2021201,zinnia,LAUR,1,P,1,0,2.241,,SG,,CUT
127,vagans,7/20/2021,2021201,zinnia,LAUR,1,P,100,2,2.793132,3.04,SG/RY/EK,,CUT
128,imp,7/20/2021,2021201,cosmos,LAUR,1,A,0,0,2.431,,RY,,CUT
129,imp,7/20/2021,2021201,cosmos,LAUR,1,A,0,0,2.281,,RY/SG,,CUT
130,vagans,7/20/2021,2021201,zinnia,LAUR,1,P,10,1,2.60214,2.8,RY/SG,,CUT
131,vagans,7/20/2021,2021201,zinnia,LAUR,1,A,0,0,2.086,,EK,,CUT
132,vagans,7/20/2021,2021201,zinnia,LAUR,1,A,0,0,2.419,,EK,,CUT
133,imp,7/20/2021,2021201,cosmos,LAUR,1,P,45,1.653212514,2.629,,RY/SG,rod like bacteria,CUT
134,vagans,7/20/2021,2021201,zinnia,LAUR,1,A,0,0,2.384,,RY,,CUT
135,vagans,7/20/2021,2021201,zinnia,LAUR,1,P,50,1.698970004,2.60214,2.8,EK,,CUT
136,vagans,7/20/2021,2021201,zinnia,LAUR,1,P,25,1.397940009,2.171,,RY,,CUT
137,imp,7/20/2021,2021201,zinnia,LAUR,1,A,0,0,2.874,,RY,few found outside of squares,CUT
138,vagans,7/20/2021,2021201,zinnia,LAUR,1,A,0,0,2.283,,RY,,CUT
139,vagans,7/20/2021,2021201,zinnia,LAUR,1,P,1,0,2.56235,2.75,SG,few found outside of squares,CUT
140,vagans,7/20/2021,2021201,zinnia,LAUR,1,A,0,0,2.386,,SG,,CUT
141,vagans,7/20/2021,2021201,zinnia,LAUR,1,A,0,0,2.253,,SG,,CUT
142,vagans,7/20/2021,2021201,zinnia,LAUR,1,P,42,1.62324929,2.212,,SG,,CUT
143,vagans,7/20/2021,2021201,zinnia,LAUR,1,P,48,1.681241237,2.506644,2.68,RY,,CUT
144,gris,7/20/2021,2021201,cosmos,LAUR,1,A,0,0,2.785174,3.03,RY,,CUT
145,vagans,7/20/2021,2021201,zinnia,LAUR,1,P,26,1.414973348,2.45,,SG,,CUT
146,vagans,7/20/2021,2021201,zinnia,LAUR,1,A,0,0,2.426,,SG,rod-like bacteria,CUT
147,vagans,7/20/2021,2021201,zinnia,LAUR,1,A,0,0,2.219,,RY,,CUT
148,vagans,7/20/2021,2021201,zinnia,LAUR,1,P,190,2.278753601,2.562,,RY/SG/EK,,CUT
149,vagans,7/20/2021,2021201,zinnia,LAUR,1,A,0,0,2.502,,EK,,CUT
150,vagans,7/20/2021,2021201,zinnia,LAUR,1,P,44,1.643452676,NA,,EK,no wing ,CUT
151,vagans,7/20/2021,2021201,zinnia,LAUR,1,P,13,1.113943352,2.262,,EK,,CUT
152,vagans,7/20/2021,2021201,zinnia,LAUR,1,A,0,0,2.318,,EK,,CUT
153,bimac,7/20/2021,2021201,zinnia,LAUR,1,A,0,0,2.953,,RY,,CUT
154,vagans,7/20/2021,2021201,zinnia,LAUR,1,P,39,1.591064607,2.277,,RY,,CUT
155,bimac,7/20/2021,2021201,zinnia,LAUR,1,P,82,1.913813852,2.651,,SG,,CUT
156,vagans,7/20/2021,2021201,zinnia,LAUR,1,NA,NA,NA,NA,,NA,died 7/21/21,CUT
157,vagans,7/20/2021,2021201,zinnia,LAUR,1,A,0,0,2.102,,SG,,CUT
158,vagans,7/20/2021,2021201,zinnia,LAUR,1,P,38,1.579783597,2.297,,SG/RY,"check count *weird, originally got 443, may have been taken from the bottom of tube but when we checked again @ bottom it was still around 30",CUT
159,vagans,7/20/2021,2021201,zinnia,LAUR,1,P,9,0.954242509,2.379316,2.52,RY,,CUT
160,imp,7/20/2021,2021201,cosmos,LAUR,1,NA,NA,NA,NA,,NA,died 7/20/21,CUT
