date,visit,farm,genus,num_row,row_length,row_cnt,inflr_count,tot_inflr,initials,sf_nsfcut_border,cut_border,row_cover,notes
7/28/2021,2,RCUT,zinnia,1,25,5,20,100,SG,nsfcut,cut,row,
7/28/2021,2,RCUT,tanacetum,1,30,5,116,696,SG,nsfcut,cut,row,
7/28/2021,2,RCUT,tanacetum,1,30,2,120,1800,SG,nsfcut,cut,row,
7/28/2021,2,RCUT,ammobium,1,17,1,30,510,SG,nsfcut,cut,row,daisy paper leaf flower? 
7/28/2021,2,RCUT,calendula,1,13,5,85,221,SG,nsfcut,cut,row,
7/28/2021,2,RCUT,helichrysum,1,98,10,5,49,SG,nsfcut,cut,row,
7/28/2021,2,RCUT,calendula,1,4,4,4,4,KT,nsfcut,cut,row,
7/28/2021,2,RCUT,tanacetum,1,30,5,42,252,KT,nsfcut,cut,row,
7/28/2021,2,RCUT,ageratum,1,36,5,10,72,KT,nsfcut,cut,row,
7/28/2021,2,RCUT,calendula,1,31,5,10,62,KT,nsfcut,cut,row,
7/28/2021,2,RCUT,calendula,1,64,5,32,409.6,KT,nsfcut,cut,row,
7/28/2021,2,RCUT,cosmos,1,58,58,27,27,KT,nsfcut,cut,row,
7/28/2021,2,RCUT,cosmos,1,22,22,8,8,KT,nsfcut,cut,row,
7/28/2021,2,RCUT,cosmos,1,109,5,25,545,KT,nsfcut,cut,row,
7/28/2021,2,RCUT,tagetes,1,26,10,37,96.2,KT,nsfcut,cut,row,marigold
7/28/2021,2,RCUT,zinnia,1,9,5,36,64.8,KT,nsfcut,cut,row,
8/3/2021,1,LASA,rudbeckia,1,20,20,4,4,SG,nsfcut,cut,row,
8/3/2021,1,LASA,ageratum,1,38,5,50,380,SG/EK,nsfcut,cut,row,
8/3/2021,1,LASA,zinnia,1,143,10,45,643.5,SG/EK,nsfcut,cut,row,
8/3/2021,1,LASA,zinnia,1,88,10,9,79.2,SG/EK,nsfcut,cut,row,
8/3/2021,1,LASA,zinnia,1,174,10,10,174,SG/EK,nsfcut,cut,row,
8/3/2021,1,LASA,zinnia,1,174,10,45,783,SG/EK,nsfcut,cut,row,
8/3/2021,1,LASA,dahlia,4,473,473,13,52,SG/EK,nsfcut,cut,row,
8/3/2021,1,LASA,rudbeckia,1,78,2,90,3510,RY,border,border,row,wild on side of farm
